Gene,Transcrit,Protein,Accession
Acc00412,Acc00412.1,d2870.a1.a1,PSS35798
Acc00413,Acc00413.1,d1045.a1.a1,PSS35799
Acc00418,Acc00418.1,c471.a5.a1,PSS35804
Acc00429,Acc00429.1,d2197.a1.a1,PSS35813
Acc00441,Acc00441.1,c409.a2.a1,PSS35937
Acc00448,Acc00448.1,d1291.a1.a1,PSS35944
Acc00450,Acc00450.1,c153.a4.a1,PSS35946
Acc00458,Acc00458.1,d1388.a3.a1,PSS35955
Acc00462,Acc00462.1,d3344.a1.a1,PSS35959
Acc00467,Acc00467.1,d1348.a1.a1,PSS35964
Acc00475,Acc00475.1,d3165.a1.a1,PSS35972
Acc00479,Acc00479.1,d1782.a1.a1,PSS35976
Acc00482,Acc00482.1,d1198.a1.a1,PSS35979
Acc00497,Acc00497.1,c334.a3.a1,PSS35994
Acc00498,Acc00498.2,b67.a1.a1,PSS35995
Acc00504,Acc00504.1,d2678.a1.a1,PSS36001
Acc00530,Acc00530.1,c519.a2.a1,PSS36026
Acc00538,Acc00538.1,d2410.a1.a1,PSS36034
Acc00542,Acc00542.1,c428.a2.a1,PSS36038
Acc00556,Acc00556.1,c175.a6.a1,PSS36052
Acc00561,Acc00561.1,d2760.a1.a1,PSS36057
Acc00566,Acc00566.1,d2071.a1.a1,PSS36062
Acc00621,Acc00621.1,d3346.a1.a1,PSS36251
Acc00622,Acc00622.1,c680.a2.a1,PSS36252
Acc00636,Acc00636.1,d1301.a3.a1,PSS36095
Acc00646,Acc00646.1,d2797.a1.a1,PSS36105
Acc00656,Acc00656.1,c850.a4.a1,PSS36115
Acc00658,Acc00658.2,d1292.a3.a1,PSS36118
Acc00665,Acc00665.1,d1664.a1.a1,PSS36124
Acc00667,Acc00667.1,c310.a2.a1,PSS36126
Acc00674,Acc00674.1,d3345.a1.a1,PSS36133
Acc00675,Acc00675.1,c333.a2.a1,PSS36134
Acc00679,Acc00679.1,c371.a2.a1,PSS36138
Acc00699,Acc00699.1,c510.a2.a1,PSS36157
Acc00702,Acc00702.1,b78.a2.a1,PSS36160
Acc00704,Acc00704.1,c333.b11.a1,PSS36162
Acc00715,Acc00715.1,c251.a2.a1,PSS36172
Acc00718,Acc00718.1,d2932.a1.a1,PSS36175
Acc00719,Acc00719.1,d2317.a1.a1,PSS36176
Acc00723,Acc00723.1,d3424.a1.a1,PSS36180
Acc00726,Acc00726.1,d2776.a1.a1,PSS36183
Acc00727,Acc00727.1,d1884.a1.a1,PSS36184
Acc00743,Acc00743.1,d2065.a1.a1,PSS36198
Acc00744,Acc00744.1,d1617.a2.a1,PSS36199
Acc00756,Acc00756.1,d1056.a1.a1,PSS36211
Acc00759,Acc00759.1,c314.a2.a1,PSS36214
Acc00760,Acc00760.1,c862.a1.a1,PSS36215
Acc00761,Acc00761.1,d1837.a2.a1,PSS36216
Acc00764,Acc00764.1,c507.a1.a1,PSS36219
Acc00765,Acc00765.1,d3326.a2.a1,PSS36220
Acc00766,Acc00766.1,d1598.a1.a1,PSS36221
Acc00774,Acc00774.1,c268.a2.a1,PSS36264
Acc00778,Acc00778.1,d1567.a1.a1,PSS36268
Acc00785,Acc00785.1,c521.a7.a1,PSS36275
Acc00786,Acc00786.1,b15.a8.a1,PSS36276
Acc00787,Acc00787.1,c417.a2.a1,PSS36277
Acc00790,Acc00790.1,d1868.a1.a1,PSS36280
Acc00809,Acc00809.1,c462.a1.a1,PSS36299
Acc00815,Acc00815.1,a8.a5.a1,PSS36305
Acc00817,Acc00817.1,d1785.a2.a1,PSS36307
Acc00818,Acc00818.1,d3425.a1.a1,PSS36308
Acc00819,Acc00819.1,c306.a3.a1,PSS36309
Acc00824,Acc00824.1,d3138.a1.a1,PSS36314
Acc00826,Acc00826.1,d1173.a3.a1,PSS36316
Acc00827,Acc00827.1,c364.a1.a1,PSS36317
Acc00846,Acc00846.1,c275.a4.a1,PSS36336
Acc00849,Acc00849.1,c321.a3.a1,PSS36339
Acc00853,Acc00853.1,b72.a2.a1,PSS36343
Acc00854,Acc00854.1,d2269.a1.a1,PSS36344
Acc00856,Acc00856.1,b49.a1.a1,PSS36346
Acc00862,Acc00862.1,d2243.a2.a1,PSS36352
Acc00868,Acc00868.1,c294.a1.a1,PSS36358
Acc00871,Acc00871.1,c222.a4.a1,PSS36361
Acc00872,Acc00872.1,d1317.a1.a1,PSS36362
Acc00873,Acc00873.1,c882.a2.a1,PSS36363
Acc00882,Acc00882.1,d2845.a1.a1,PSS36370
Acc00883,Acc00883.1,d2853.a1.a1,PSS36371
Acc00884,Acc00884.1,d3269.a1.a1,PSS36372
Acc00894,Acc00894.1,c644.a2.a1,PSS36382
Acc00899,Acc00899.1,d2442.a2.a1,PSS36387
Acc00900,Acc00900.1,c589.a2.a1,PSS36388
Acc00906,Acc00906.1,b88.a8.a1,PSS36394
Acc00909,Acc00909.1,d1455.a1.a1,PSS36397
Acc00911,Acc00911.1,c407.a3.a1,PSS36399
Acc00914,Acc00914.1,d2389.a1.a1,PSS36402
Acc00917,Acc00917.1,d3166.a1.a1,PSS36405
Acc00918,Acc00918.1,c497.a2.a1,PSS36406
Acc00922,Acc00922.1,c304.a2.a1,PSS36410
Acc00924,Acc00924.1,d1135.a2.a1,PSS36412
Acc00926,Acc00926.1,d1722.a2.a1,PSS36414
Acc00967,Acc00967.1,c102.a1.a1,PSS36453
Acc00968,Acc00968.1,d2694.a1.a1,PSS36454
Acc00970,Acc00970.1,d1206.a1.a1,PSS36456
Acc00971,Acc00971.1,d3426.a1.a1,PSS36457
Acc00974,Acc00974.1,d1068.a3.a1,PSS36460
Acc00979,Acc00979.1,d1471.a2.a1,PSS36465
Acc00982,Acc00982.1,d1640.a1.a1,PSS36468
Acc00985,Acc00985.1,c187.a1.a1,PSS36471
Acc01003,Acc01003.1,c913.a6.a1,PSS36488
Acc01004,Acc01004.1,c525.a4.a1,PSS36489
Acc01005,Acc01005.1,c191.a1.a1,PSS36490
Acc01009,Acc01009.1,d2679.a1.a1,PSS36494
Acc01036,Acc01036.1,d2891.a1.a1,PSS36520
Acc01038,Acc01038.1,c111.a7.a1,PSS36522
Acc01041,Acc01041.1,d1174.a1.a1,PSS36525
Acc01044,Acc01044.1,d2411.a1.a1,PSS36528
Acc01061,Acc01061.1,d2566.a2.a1,PSS36545
Acc01070,Acc01070.1,c270.a2.a1,PSS36554
Acc01073,Acc01073.1,d2984.a1.a1,PSS36557
Acc01077,Acc01077.1,c538.a1.a1,PSS36561
Acc01080,Acc01080.1,c565.a1.a1,PSS36563
Acc01096,Acc01096.1,d1475.a2.a1,PSS36578
Acc01103,Acc01103.1,d1556.a3.a1,PSS36585
Acc01112,Acc01112.1,d3347.a1.a1,PSS36594
Acc01119,Acc01119.1,c890.a2.a1,PSS36601
Acc01122,Acc01122.1,d1341.a1.a1,PSS36604
Acc01137,Acc01137.1,d1251.a2.a1,PSS36619
Acc01145,Acc01145.1,b54.a1.a1,PSS36627
Acc01146,Acc01146.1,c151.a3.a1,PSS36628
Acc01148,Acc01148.1,c815.a3.a1,PSS36630
Acc01153,Acc01153.1,d2107.a1.a1,PSS36635
Acc01160,Acc01160.1,c131.a1.a1,PSS36642
Acc01164,Acc01164.1,d1426.a1.a1,PSS36646
Acc01168,Acc01168.1,c779.a2.a1,PSS36649
Acc01169,Acc01169.1,d2292.a1.a1,PSS36650
Acc01173,Acc01173.1,c220.a3.a1,PSS36654
Acc01199,Acc01199.1,d1004.a4.a1,PSS36679
Acc01202,Acc01202.1,d2262.a1.a1,PSS36682
Acc01228,Acc01228.1,c176.a2.a1,PSS36707
Acc01229,Acc01229.1,c686.a1.a1,PSS36708
Acc01230,Acc01230.1,c686.a2.a1,PSS36709
Acc01234,Acc01234.1,c843.a1.a1,PSS36713
Acc01246,Acc01246.1,d1732.a2.a1,PSS36724
Acc01261,Acc01261.1,d1337.a2.a1,PSS36738
Acc01270,Acc01270.1,d1993.a1.a1,PSS11936
Acc01298,Acc01298.1,c823.a2.a1,PSS11910
Acc01300,Acc01300.1,c180.a2.a1,PSS11908
Acc01311,Acc01311.1,d1394.a2.a1,PSS11897
Acc01318,Acc01318.1,c845.a1.a1,PSS11891
Acc01322,Acc01322.1,d3276.a1.a1,PSS11888
Acc01326,Acc01326.1,c335.a2.a1,PSS11884
Acc01331,Acc01331.1,d1356.a2.a1,PSS11881
Acc01334,Acc01334.1,d2955.a1.a1,PSS11878
Acc01336,Acc01336.1,d2140.a1.a1,PSS11876
Acc01338,Acc01338.1,d1622.a2.a1,PSS11874
Acc01339,Acc01339.1,d2769.a1.a1,PSS11873
Acc01365,Acc01365.1,d2854.a1.a1,PSS34269
Acc01368,Acc01368.1,d1656.a1.a1,PSS34272
Acc01370,Acc01370.1,c587.a1.a1,PSS34274
Acc01372,Acc01372.1,c888.a8.a1,PSS34276
Acc01383,Acc01383.1,d2417.a2.a1,PSS34287
Acc01384,Acc01384.1,c574.a1.a1,PSS34288
Acc01385,Acc01385.1,c928.a2.a1,PSS34289
Acc01387,Acc01387.1,d1080.a1.a1,PSS34291
Acc01403,Acc01403.1,d1925.a1.a1,PSS34306
Acc01407,Acc01407.1,c418.a4.a1,PSS34310
Acc01438,Acc01438.1,c190.a2.a1,PSS34339
Acc01444,Acc01444.1,c239.a6.a1,PSS34345
Acc01452,Acc01452.1,d3342.a1.a1,PSS34353
Acc01457,Acc01457.1,d1223.a3.a1,PSS34358
Acc01458,Acc01458.1,d1978.a1.a1,PSS34359
Acc01468,Acc01468.1,d1360.a1.a1,PSS34369
Acc01478,Acc01478.1,d3073.a1.a1,PSS34379
Acc01490,Acc01490.1,c268.a3.a1,PSS34391
Acc01492,Acc01492.1,d1752.a1.a1,PSS34393
Acc01494,Acc01494.1,c916.a1.a1,PSS34395
Acc01500,Acc01500.1,d1036.a2.a1,PSS34401
Acc01516,Acc01516.1,c370.a3.a1,PSS34417
Acc01520,Acc01520.1,d1425.a1.a1,PSS34421
Acc01533,Acc01533.1,d3343.a1.a1,PSS34434
Acc01534,Acc01534.1,d2493.a1.a1,PSS34435
Acc01535,Acc01535.1,d2160.a1.a1,PSS34436
Acc01541,Acc01541.1,d1439.a1.a1,PSS34442
Acc01543,Acc01543.1,c683.a1.a1,PSS34444
Acc01562,Acc01562.1,a4.a1.a1,PSS34463
Acc01566,Acc01566.1,d3135.a1.a1,PSS34467
Acc01572,Acc01572.1,c849.a1.a1,PSS34473
Acc01588,Acc01588.1,c988.a2.a1,PSS34489
Acc01590,Acc01590.1,d1529.a2.a1,PSS34491
Acc01595,Acc01595.1,d1444.a1.a1,PSS34496
Acc01615,Acc01615.1,d1404.a1.a1,PSS34515
Acc01622,Acc01622.1,c267.a1.a1,PSS34520
Acc01623,Acc01623.1,d1711.a2.a1,PSS34521
Acc01628,Acc01628.1,d3074.a1.a1,PSS34526
Acc01635,Acc01635.1,c115.a1.a1,PSS34533
Acc01646,Acc01646.1,d1526.a2.a1,PSS34544
Acc01653,Acc01653.1,b35.a1.a1,PSS34551
Acc01663,Acc01663.1,c255.a2.a1,PSS34560
Acc01672,Acc01672.1,d2543.a1.a1,PSS34569
Acc01677,Acc01677.1,c486.a2.a1,PSS34574
Acc01678,Acc01678.1,c486.a1.a1,PSS34575
Acc01680,Acc01680.1,c233.a2.a1,PSS34577
Acc01683,Acc01683.1,c482.b32.a1,PSS34580
Acc01685,Acc01685.1,c301.a1.a1,PSS34582
Acc01699,Acc01699.1,c821.a3.a1,PSS34596
Acc01702,Acc01702.1,d1766.a1.a1,PSS34599
Acc01717,Acc01717.1,b11.a8.a1,PSS34614
Acc01718,Acc01718.1,d2371.a1.a1,PSS34615
Acc01720,Acc01720.1,c527.a1.a1,PSS34617
Acc01722,Acc01722.1,c445.a3.a1,PSS34619
Acc01729,Acc01729.1,c943.a1.a1,PSS34625
Acc01734,Acc01734.1,d1824.a1.a1,PSS34630
Acc01745,Acc01745.1,c950.a1.a1,PSS34641
Acc01764,Acc01764.1,c802.a1.a1,PSS34658
Acc01772,Acc01772.1,d2555.a1.a1,PSS34666
Acc01776,Acc01776.1,d2441.a1.a1,PSS34670
Acc01781,Acc01781.1,c802.a2.a1,PSS34675
Acc01787,Acc01787.1,c849.a3.a1,PSS34681
Acc01797,Acc01797.1,d2217.a1.a1,PSS34690
Acc01803,Acc01803.1,d3048.a1.a1,PSS34696
Acc01804,Acc01804.1,c382.a2.a1,PSS34697
Acc01805,Acc01805.1,d1784.a2.a1,PSS34698
Acc01807,Acc01807.1,b33.a1.a1,PSS34700
Acc01817,Acc01817.1,c501.a1.a1,PSS34710
Acc01820,Acc01820.1,b35.b12.a1,PSS34713
Acc01828,Acc01828.1,d1775.a1.a1,PSS34721
Acc01830,Acc01830.1,d1111.a2.a1,PSS34723
Acc01833,Acc01833.1,d3143.a1.a1,PSS34726
Acc01834,Acc01834.1,d1742.a1.a1,PSS34727
Acc01843,Acc01843.1,d2429.a1.a1,PSS34736
Acc01850,Acc01850.1,d1244.a1.a1,PSS34742
Acc01869,Acc01869.1,d3049.a1.a1,PSS34761
Acc01871,Acc01871.1,d1436.a2.a1,PSS34763
Acc01874,Acc01874.1,d1015.a1.a1,PSS34766
Acc01875,Acc01875.1,c444.a3.a1,PSS34767
Acc01876,Acc01876.1,c444.a4.a1,PSS24573
Acc01892,Acc01892.1,c128.a8.a1,PSS34781
Acc01894,Acc01894.1,c453.a4.a1,PSS34783
Acc01899,Acc01899.1,c657.a1.a1,PSS34788
Acc01910,Acc01910.1,d2946.a1.a1,PSS34798
Acc01918,Acc01918.1,d3206.a1.a1,PSS34806
Acc01919,Acc01919.1,d3025.a1.a1,PSS34807
Acc01935,Acc01935.1,d1639.a1.a1,PSS34822
Acc01953,Acc01953.1,c649.a1.a1,PSS34840
Acc01956,Acc01956.1,d1294.a1.a1,PSS34843
Acc01957,Acc01957.1,c129.a3.a1,PSS34844
Acc01958,Acc01958.1,c129.a1.a1,PSS34845
Acc01960,Acc01960.1,c778.a2.a1,PSS34847
Acc01962,Acc01962.1,d3207.a1.a1,PSS34849
Acc01966,Acc01966.1,b75.a1.a1,PSS34853
Acc01967,Acc01967.1,b75.a2.a1,PSS34854
Acc01970,Acc01970.1,d1239.a1.a1,PSS34857
Acc01971,Acc01971.1,b20.a1.a1,PSS34858
Acc01980,Acc01980.1,c123.a1.a1,PSS34867
Acc01990,Acc01990.1,c123.a2.a1,PSR98459
Acc01992,Acc01992.1,c235.a1.a1,PSR98457
Acc02004,Acc02004.1,c253.a1.a1,PSR98447
Acc02006,Acc02006.1,c139.a1.a1,PSR98445
Acc02017,Acc02017.1,d1080.a2.a1,PSS34875
Acc02021,Acc02021.1,d2002.a1.a1,PSS34879
Acc02025,Acc02025.1,b11.a1.a1,PSS34885
Acc02033,Acc02033.1,c584.a2.a1,PSR97947
Acc02038,Acc02038.1,d1390.a2.a1,PSR97942
Acc02044,Acc02044.1,d1715.a1.a1,PSR97936
Acc02045,Acc02045.1,d3295.a1.a1,PSR97935
Acc02049,Acc02049.1,d1187.a1.a1,PSR97931
Acc02056,Acc02056.1,c399.a1.a1,PSR97925
Acc02073,Acc02073.1,d1624.a2.a1,PSR97961
Acc02074,Acc02074.1,d3296.a1.a1,PSR97962
Acc02077,Acc02077.1,c153.a2.a1,PSR97964
Acc02078,Acc02078.1,b10.a1.a1,PSR97965
Acc02081,Acc02081.1,c399.a3.a1,PSR97968
Acc02088,Acc02088.1,d1187.a2.a1,PSR97975
Acc02089,Acc02089.1,d3297.a1.a1,PSR97976
Acc02095,Acc02095.1,c603.a1.a1,PSS34887
Acc02099,Acc02099.1,d1401.a2.a1,PSS34891
Acc02104,Acc02104.1,d2759.a1.a1,PSS34896
Acc02112,Acc02112.1,b34.a2.a1,PSS34904
Acc02121,Acc02121.1,c113.a1.a1,PSS34913
Acc02141,Acc02141.1,c239.a2.a1,PSS34932
Acc02145,Acc02145.1,d3267.a1.a1,PSS34936
Acc02147,Acc02147.1,c546.a4.a1,PSS34938
Acc02148,Acc02148.1,d1668.a2.a1,PSS34939
Acc02152,Acc02152.1,d1575.a1.a1,PSS34943
Acc02168,Acc02168.1,d1286.a1.a1,PSS34959
Acc02172,Acc02172.1,c482.b18.a1,PSS34963
Acc02175,Acc02175.1,d1890.a1.a1,PSS34965
Acc02178,Acc02178.1,c312.a1.a1,PSS34967
Acc02211,Acc02211.1,d3075.a1.a1,PSS35014
Acc02212,Acc02212.1,d1101.a2.a1,PSS35015
Acc02215,Acc02215.1,c924.a1.a1,PSS35018
Acc02226,Acc02226.1,c663.a1.a1,PSS35029
Acc02238,Acc02238.1,d1345.a2.a1,PSS35041
Acc02239,Acc02239.1,c483.a3.a1,PSS35042
Acc02241,Acc02241.1,c967.a1.a1,PSS35044
Acc02248,Acc02248.1,c173.a3.a1,PSS35052
Acc02249,Acc02249.1,c120.a4.a1,PSS35053
Acc02255,Acc02255.1,c697.a1.a1,PSS35059
Acc02271,Acc02271.1,d3136.a1.a1,PSS35075
Acc02295,Acc02295.1,d1359.a1.a1,PSS35098
Acc02296,Acc02296.1,c569.a2.a1,PSS35099
Acc02297,Acc02297.1,d1387.a2.a1,PSS35100
Acc02316,Acc02316.1,c372.a2.a1,PSS35118
Acc02323,Acc02323.1,c847.a1.a1,PSS35124
Acc02325,Acc02325.1,d1744.a1.a1,PSS35126
Acc02327,Acc02327.1,d1695.a2.a1,PSS35128
Acc02330,Acc02330.1,c345.a1.a1,PSS35131
Acc02335,Acc02335.1,d1031.a1.a1,PSS35136
Acc02350,Acc02350.1,d3268.a1.a1,PSS35151
Acc02353,Acc02353.1,b15.a2.a1,PSS35154
Acc02358,Acc02358.1,d1136.a1.a1,PSS35159
Acc02360,Acc02360.1,d1776.a1.a1,PSS35161
Acc02362,Acc02362.1,d1309.a1.a1,PSS35163
Acc02366,Acc02366.1,c519.a6.a1,PSS35167
Acc02368,Acc02368.1,c615.a1.a1,PSS35169
Acc02371,Acc02371.1,b88.a9.a1,PSS35172
Acc02381,Acc02381.1,d3208.a1.a1,PSS35182
Acc02382,Acc02382.1,c892.a3.a1,PSS35183
Acc02411,Acc02411.1,d3137.a1.a1,PSS35211
Acc02413,Acc02413.1,c764.a1.a1,PSS35213
Acc02417,Acc02417.1,b35.a4.a1,PSS35217
Acc02421,Acc02421.1,c832.a2.a1,PSS35221
Acc02425,Acc02425.1,d1226.a1.a1,PSS35225
Acc02426,Acc02426.1,d1879.a1.a1,PSS35226
Acc02431,Acc02431.1,c696.a8.a1,PSS35231
Acc02434,Acc02434.1,c151.a5.a1,PSS35234
Acc02449,Acc02449.1,d1253.a1.a1,PSS35248
Acc02453,Acc02453.1,d1085.a1.a1,PSS35252
Acc02472,Acc02472.1,d2161.a1.a1,PSS35271
Acc02474,Acc02474.1,d2146.a1.a1,PSS35273
Acc02482,Acc02482.1,c564.a2.a1,PSS35281
Acc02483,Acc02483.1,c438.a1.a1,PSS35282
Acc02484,Acc02484.1,d2523.a1.a1,PSS35283
Acc02496,Acc02496.1,d2091.a1.a1,PSS35295
Acc02497,Acc02497.1,d1654.a1.a1,PSS35296
Acc02510,Acc02510.1,c879.a1.a1,PSS35307
Acc02516,Acc02516.1,d1218.a1.a1,PSS35313
Acc02523,Acc02523.1,c355.a1.a1,PSS35320
Acc02529,Acc02529.1,d1700.a2.a1,PSS35326
Acc02531,Acc02531.1,d3163.a1.a1,PSS35328
Acc02549,Acc02549.1,d2769.a2.a1,PSS32250
Acc02552,Acc02552.1,d2140.a2.a1,PSS32253
Acc02557,Acc02557.1,d1356.a1.a1,PSS32258
Acc02559,Acc02559.1,d2291.a1.a1,PSS32260
Acc02561,Acc02561.1,d1990.a1.a1,PSS32262
Acc02574,Acc02574.1,c635.a2.a1,PSS32275
Acc02575,Acc02575.1,c797.a3.a1,PSS32276
Acc02577,Acc02577.1,c823.a1.a1,PSS32278
Acc02578,Acc02578.1,c180.a1.a1,PSS32279
Acc02585,Acc02585.1,d1394.a1.a1,PSS32286
Acc02589,Acc02589.1,d1892.a3.a1,PSS32290
Acc02594,Acc02594.1,d1773.a1.a1,PSS32295
Acc02595,Acc02595.1,d2504.a1.a1,PSS32296
Acc02596,Acc02596.1,d1438.a3.a1,PSS32297
Acc02608,Acc02608.1,d2803.a1.a1,PSS32309
Acc02613,Acc02613.1,d2650.a1.a1,PSS32314
Acc02625,Acc02625.1,d2326.a1.a1,PSS32326
Acc02632,Acc02632.1,d1491.a1.a1,PSS32333
Acc02635,Acc02635.1,d2883.a1.a1,PSS32336
Acc02640,Acc02640.1,d1139.a1.a1,PSS32341
Acc02663,Acc02663.1,d2417.a1.a1,PSS32364
Acc02664,Acc02664.1,c574.a2.a1,PSS32365
Acc02665,Acc02665.1,c928.a1.a1,PSS32366
Acc02675,Acc02675.1,d3204.a1.a1,PSS32376
Acc02677,Acc02677.1,d1925.a2.a1,PSS32378
Acc02679,Acc02679.1,c418.a3.a1,PSS32380
Acc02723,Acc02723.1,d1223.a2.a1,PSS32424
Acc02744,Acc02744.1,c482.b21.a1,PSS32445
Acc02748,Acc02748.1,d1604.a1.a1,PSS32449
Acc02752,Acc02752.1,c268.a4.a1,PSS32453
Acc02756,Acc02756.1,d1752.a2.a1,PSS32457
Acc02762,Acc02762.1,c916.a2.a1,PSS32463
Acc02771,Acc02771.1,d1036.a1.a1,PSS32472
Acc02772,Acc02772.1,d2148.a1.a1,PSS32473
Acc02790,Acc02790.1,c750.a2.a1,PSS32491
Acc02795,Acc02795.1,d1425.a2.a1,PSS32496
Acc02802,Acc02802.1,d1041.a1.a1,PSS32503
Acc02807,Acc02807.1,d2160.a2.a1,PSS32508
Acc02813,Acc02813.1,c683.a2.a1,PSS32514
Acc02814,Acc02814.1,d2757.a1.a1,PSS32515
Acc02818,Acc02818.1,d1991.a2.a1,PSS32519
Acc02827,Acc02827.1,a4.a2.a1,PSS32528
Acc02836,Acc02836.1,c849.a2.a1,PSS32537
Acc02837,Acc02837.1,d2871.a1.a1,PSS32538
Acc02847,Acc02847.1,d1529.a1.a1,PSS32548
Acc02850,Acc02850.1,d2590.a1.a1,PSS32550
Acc02853,Acc02853.1,d1568.a1.a1,PSS32553
Acc02866,Acc02866.1,d1404.a2.a1,PSS32566
Acc02870,Acc02870.1,d1711.a1.a1,PSS32570
Acc02871,Acc02871.1,c269.a1.a1,PSS32571
Acc02883,Acc02883.1,d2347.a1.a1,PSS32583
Acc02887,Acc02887.1,d2711.a1.a1,PSS32587
Acc02895,Acc02895.1,d3339.a1.a1,PSS32595
Acc02898,Acc02898.1,b35.a2.a1,PSS32598
Acc02899,Acc02899.1,d2775.a1.a1,PSS32599
Acc02905,Acc02905.1,c670.a1.a1,PSS32605
Acc02907,Acc02907.1,c255.a1.a1,PSS32607
Acc02909,Acc02909.1,d1669.a2.a1,PSS32609
Acc02921,Acc02921.1,d2031.a1.a1,PSS32621
Acc02922,Acc02922.1,c233.a1.a1,PSS32622
Acc02931,Acc02931.1,d1910.a1.a1,PSS32631
Acc02932,Acc02932.1,d2575.a1.a1,PSS32632
Acc02940,Acc02940.1,d2064.a1.a1,PSS32640
Acc02946,Acc02946.1,c821.a1.a1,PSS32646
